"NLAid"	"squareEighth"	"squareQuarter"	"squareHalf"	"squareOne"	"HUC8"
"NLA06608-0238"	"0"	"1"	"3"	"26"	"0"
"NLA06608-0239"	"0"	"10"	"23"	"56"	"0"
"NLA06608-0240"	"0"	"0"	"0"	"1"	"0"
"NLA06608-0241"	"0"	"0"	"5"	"14"	"2"
"NLA06608-0242"	"1"	"8"	"31"	"182"	"0"
"NLA06608-0243"	"0"	"0"	"1"	"7"	"3"
"NLA06608-0244"	"0"	"0"	"0"	"6"	"0"
"NLA06608-0245"	"0"	"1"	"84"	"214"	"1"
"NLA06608-0247"	"0"	"0"	"1"	"6"	"2"
"NLA06608-0253"	"0"	"0"	"4"	"26"	"0"
"NLA06608-0254"	"0"	"0"	"1"	"4"	"0"
"NLA06608-0255"	"0"	"0"	"3"	"40"	"0"
"NLA06608-0257"	"0"	"0"	"0"	"19"	"0"
"NLA06608-0259"	"0"	"0"	"0"	"3"	"0"
"NLA06608-0260"	"1"	"1"	"1"	"19"	"3"
"NLA06608-0268"	"0"	"24"	"108"	"134"	"39"
"NLA06608-0271"	"1"	"1"	"5"	"82"	"0"
"NLA06608-0275"	"0"	"0"	"0"	"0"	"1"
"NLA06608-0276"	"0"	"9"	"27"	"120"	"4"
"NLA06608-0277"	"1"	"2"	"2"	"19"	"3"
"NLA06608-0279"	"3"	"9"	"26"	"79"	"0"
"NLA06608-0280"	"0"	"3"	"7"	"46"	"6"
"NLA06608-0281"	"0"	"2"	"17"	"57"	"0"
"NLA06608-0283"	"0"	"0"	"4"	"21"	"0"
"NLA06608-0284"	"0"	"0"	"1"	"4"	"0"
"NLA06608-0285"	"6"	"30"	"77"	"182"	"0"
"NLA06608-0286"	"0"	"0"	"3"	"56"	"0"
"NLA06608-0290"	"0"	"0"	"0"	"11"	"0"
"NLA06608-0291"	"0"	"0"	"2"	"108"	"0"
"NLA06608-0293"	"4"	"21"	"64"	"568"	"0"
"NLA06608-0294"	"0"	"1"	"4"	"42"	"0"
"NLA06608-0295"	"0"	"0"	"0"	"1"	"0"
