"NLAid"	"squareEighth"	"squareQuarter"	"squareHalf"	"squareOne"	"HUC8"
"NLA06608-0590"	1	13	33	96	0
"NLA06608-0591"	1	20	153	265	0
"NLA06608-0593"	0	7	13	19	0
"NLA06608-0594"	0	1	1	27	0
"NLA06608-0595"	0	0	4	11	2
"NLA06608-0596"	2	12	63	361	17
"NLA06608-0597"	6	36	63	70	59
"NLA06608-0599"	0	0	0	21	0
"NLA06608-0606"	5	6	9	80	0
"NLA06608-0608"	0	6	14	41	0
"NLA06608-0609"	10	18	59	118	0
"NLA06608-0610"	5	15	68	157	0
"NLA06608-0611"	9	40	72	195	0
"NLA06608-0614"	0	20	84	145	53
"NLA06608-0616"	0	0	2	2	1
"NLA06608-0617"	0	0	2	23	0
"NLA06608-0618"	0	1	2	27	0
"NLA06608-0619"	0	3	20	89	0
"NLA06608-0622"	4	4	10	45	0
"NLA06608-0623"	0	2	6	33	0
"NLA06608-0624"	0	4	34	84	0
"NLA06608-0625"	0	0	0	2	0
"NLA06608-0627"	1	11	100	212	0
"NLA06608-0628"	0	0	0	16	0
"NLA06608-0630"	0	2	12	52	0
"NLA06608-0632"	1	4	24	213	7
"NLA06608-0634"	0	2	15	53	0
"NLA06608-0635"	8	29	93	295	29
"NLA06608-0637"	0	0	37	170	0
"NLA06608-0641"	0	0	2	22	0
"NLA06608-0648"	0	0	9	40	4
"NLA06608-0649"	0	0	71	305	0
"NLA06608-0650"	0	0	1	42	0
"NLA06608-0651"	11	39	68	145	0
"NLA06608-0654"	5	8	49	108	0
"NLA06608-0657"	0	0	0	2	0
"NLA06608-0658"	0	2	8	88	1
"NLA06608-0659"	0	0	4	54	0
"NLA06608-0660"	4	10	46	176	0
"NLA06608-0661"	0	1	19	326	0
"NLA06608-0662"	0	0	2	23	0
"NLA06608-0663"	0	0	5	30	0
"NLA06608-0665"	0	7	21	80	0
"NLA06608-0671"	0	0	10	103	1
"NLA06608-0672"	6	9	24	93	0
"NLA06608-0674"	2	6	40	237	0
"NLA06608-0677"	0	0	1	3	0
"NLA06608-0678"	0	0	8	49	1
"NLA06608-0679"	10	57	103	214	0
"NLA06608-0681"	0	6	11	46	0
"NLA06608-0686"	0	0	6	50	0
"NLA06608-0687"	11	33	86	365	26
"NLA06608-0690"	11	36	113	218	0
"NLA06608-0692"	6	7	23	78	28
"NLA06608-0693"	1	2	21	166	2
"NLA06608-0696"	0	0	8	39	1
"NLA06608-0707"	0	0	1	23	3
"NLA06608-0709"	0	3	22	93	0
"NLA06608-0710"	3	3	12	90	0
"NLA06608-0711"	0	10	40	157	0
"NLA06608-0712"	0	2	11	60	8
"NLA06608-0713"	8	28	113	267	36
"NLA06608-0715"	3	28	114	346	20
"NLA06608-0717"	7	15	128	652	0
"NLA06608-0718"	0	0	11	25	4
"NLA06608-0720"	2	4	12	35	11
"NLA06608-0721"	0	10	32	125	21
"NLA06608-0723"	0	0	1	10	2
"NLA06608-0724"	10	22	60	236	0
"NLA06608-0726"	0	0	3	44	0
"NLA06608-0727"	1	2	5	58	0
"NLA06608-0731"	0	0	2	78	0
"NLA06608-0733"	0	0	0	6	1
"NLA06608-0734"	0	1	35	41	0
"NLA06608-0738"	0	0	18	159	0
"NLA06608-0743"	2	9	54	185	0
"NLA06608-0744"	0	0	0	16	0
"NLA06608-0749"	0	4	32	265	0
"NLA06608-0751"	2	13	17	136	0
"NLA06608-0753"	0	0	1	25	0
"NLA06608-0754"	1	58	107	251	0
"NLA06608-0755"	0	0	1	10	2
"NLA06608-0756"	0	0	1	35	1
"NLA06608-0759"	0	2	18	69	0
"NLA06608-0761"	25	111	362	887	0
"NLA06608-0762"	0	2	17	53	20
"NLA06608-0764"	2	3	3	17	3
"NLA06608-0765"	1	16	41	98	0
"NLA06608-0766"	0	4	11	44	21
"NLA06608-0769"	2	9	42	104	6
"NLA06608-0770"	7	16	32	47	18
"NLA06608-0771"	0	3	11	71	0
"NLA06608-0775"	0	0	2	6	1
"NLA06608-0779"	0	0	2	32	3
"NLA06608-0781"	27	125	336	834	0
"NLA06608-0782"	0	0	0	8	0
"NLA06608-0783"	0	10	40	103	0
"NLA06608-0785"	7	19	39	128	25
"NLA06608-0792"	2	8	40	75	12
"NLA06608-0793"	0	1	16	117	0
"NLA06608-0794"	5	7	18	78	6
"NLA06608-0797"	0	0	9	19	7
"NLA06608-0802"	2	5	38	216	0
"NLA06608-0804"	1	2	4	50	0
"NLA06608-0805"	1	34	103	410	0
"NLA06608-0806"	0	1	54	69	0
"NLA06608-0807"	0	0	4	42	0
"NLA06608-0808"	0	2	13	107	3
"NLA06608-0809"	1	1	10	24	1
"NLA06608-0811"	2	10	35	59	0
"NLA06608-0812"	0	0	4	23	0
"NLA06608-0815"	0	3	20	109	0
"NLA06608-0820"	0	1	3	43	0
"NLA06608-0823"	1	4	44	183	0
"NLA06608-0824"	0	0	3	13	0
"NLA06608-0825"	1	1	5	16	3
"NLA06608-0827"	9	49	135	314	20
"NLA06608-0828"	2	27	41	103	0
"NLA06608-0830"	0	0	3	31	1
"NLA06608-0831"	0	3	9	54	0
"NLA06608-0833"	0	0	4	13	0
"NLA06608-0834"	1	4	12	55	18
"NLA06608-0836"	1	1	2	7	1
"NLA06608-0837"	0	0	0	41	0
"NLA06608-0842"	0	0	6	24	9
"NLA06608-0843"	2	7	80	156	0
"NLA06608-0846"	2	11	38	103	0
"NLA06608-0847"	0	2	29	114	0
"NLA06608-0849"	0	0	2	6	2
"NLA06608-0850"	8	27	63	144	14
"NLA06608-0851"	0	0	2	8	2
"NLA06608-0856"	0	1	7	33	1
"NLA06608-0857"	14	21	25	105	0
"NLA06608-0859"	0	9	74	224	0
"NLA06608-0860"	1	13	26	84	0
"NLA06608-0862"	0	2	18	65	0
"NLA06608-0863"	0	0	2	36	0
"NLA06608-0864"	0	1	3	15	4
"NLA06608-0865"	0	2	39	135	0
"NLA06608-0868"	0	1	12	85	0
"NLA06608-0869"	6	22	178	575	0
"NLA06608-0870"	2	5	13	132	16
"NLA06608-0871"	0	0	8	56	0
"NLA06608-0872"	0	0	14	61	0
"NLA06608-0873"	0	0	3	24	1
"NLA06608-0874"	0	2	5	14	0
"NLA06608-0875"	0	1	24	57	0
"NLA06608-0877"	0	1	1	39	3
"NLA06608-0878"	1	3	15	48	0
"NLA06608-0880"	0	1	1	2	1
"NLA06608-0881"	0	0	0	4	0
"NLA06608-0885"	0	9	56	104	54
"NLA06608-0889"	0	0	0	2	0
"NLA06608-0890"	0	3	3	6	0
"NLA06608-0891"	0	1	1	60	3
"NLA06608-0893"	0	0	4	36	0
"NLA06608-0895"	0	0	1	20	1
"NLA06608-0899"	0	0	0	17	3
"NLA06608-0900"	0	2	19	65	0
"NLA06608-0904"	1	3	8	22	2
"NLA06608-0905"	33	72	151	227	78
"NLA06608-0906"	15	20	31	65	15
"NLA06608-0913"	0	0	0	1	0
"NLA06608-0914"	2	7	8	14	0
"NLA06608-0915"	0	0	7	79	0
"NLA06608-0916"	0	5	61	223	45
"NLA06608-0918"	0	0	1	3	0
"NLA06608-0921"	5	13	59	165	0
"NLA06608-0922"	17	25	33	87	15
"NLA06608-0924"	0	0	6	22	14
"NLA06608-0925"	0	0	8	23	7
"NLA06608-0926"	0	4	21	61	0
"NLA06608-0927"	1	6	18	97	4
"NLA06608-0929"	0	1	12	44	5
"NLA06608-0930"	0	0	7	105	0
